Key,File,Type,UsedInMainMenu,NoTranslate,english
buffDrunkGrandpasWheelchairRacingElixirDesc,buffs,Buff,,,"Grandpas Wheelchair Racin' Elixir\nHealth Amount +5\nHealth Restore 0.25h/sec\nBlock Damage +10%\nMovement Speed +10%\nStamina Regen +10%\nDuration 1 Hour (stacks to 2hr)\nSpecial:\nInhibits Hunger depletion from Health Regen\nInhibits Thirst depletion from Stamina Regen"
buffDrunkGrandpasWheelchairRacingElixirName,buffs,Buff,,,"Grandpas Wheelchair Racin' Elixir"
buffDrunkGrandpasWheelchairRacingElixirTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..."
drinkJarGrandpasWheelchairRacingElixir,items,Food,,,Grandpa's Wheelchair Racin' Elixir
drinkJarGrandpasWheelchairRacingElixirDesc,items,Food,,,"Grandpas Wheelchair Racin' Elixir\nHealth Amount +5\nHealth Restore 0.25h/sec\nBlock Damage +10%\nMovement Speed +10%\nStamina Regen +10%\nDuration 1 Hour (stacks to 2hr)\n\nSpecial:\nInhibits Hunger depletion from Health Regen\nInhibits Thirst depletion from Stamina Regen"
drinkJarGrandpasWheelchairRacingElixirPromptDesc,items,Food,,,Drink?
buffDrunkGrandpasThemsFightinWordsMoonshineDesc,buffs,Buff,,,"Grandpas Fightin' Words Moonshine\nMelee Damage +5%\nAttacks per min +5%\nResist:\n   Infection-Fatigue +10%\n   Laceration-Abrasions +10%\n   Stun-Strain-Bleeding +15%\nDuration 1 Hour (stacks to 2hr)\nSpecial:\nDamage Resistance +15%"
buffDrunkGrandpasThemsFightinWordsMoonshineName,buffs,Buff,,,"Grandpas Fightin' Words Moonshine"
buffDrunkGrandpasThemsFightinWordsMoonshineTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..,"
drinkJarGrandpasThemsFightinWordsMoonshine,items,Food,,,Grandpas Fightin' Words Moonshine
drinkJarGrandpasThemsFightinWordsMoonshineDesc,items,Food,,,"Grandpas Fightin' Words Moonshine\nMelee Damage +5%\nAttacks per min +5%\nResist:\n   Infection-Fatigue +10%\n   Laceration-Abrasions +10%\n   Stun-Strain-Bleeding +10%\nDuration 1 Hour (stacks to 2hr)\nSpecial:\nDamage Resistance +15%"
drinkJarGrandpasThemsFightinWordsMoonshinePromptDesc,items,Food,,,Drink?
buffDrunkGrandpasGunbeltOilSauceDesc,buffs,Buff,,,"Grandpas Gunbelt Oil Sauce\nRanged Damage +5%\nRounds per min +5%\nWeapon Handling +10%\nReload Speed +10%\nDuration 1 Hour (stacks to 2hr)\nSpecial:\n    Fire Resistance +25%\n    Explosion Resistance +25%"
buffDrunkGrandpasGunbeltOilSauceName,buffs,Buff,,,"Grandpas Gunbelt Oil Sauce"
buffDrunkGrandpasGunbeltOilSauceTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..,"
drinkJarGrandpasGunbeltOilSauce,items,Food,,,Grandpas Gunbelt Oil Sauce
drinkJarGrandpasGunbeltOilSauceDesc,items,Food,,,"Grandpas Gunbelt Oil Sauce\nRanged Damage +5%\nRounds per min +5%\nWeapon Handling +10%\nReload Speed +10%\nDuration 1 Hour (stacks to 2hr)\nSpecial:\n    Fire Resistance +25%\n    Explosion Resistance +25%"
drinkJarGrandpasGunbeltOilSaucePromptDesc,items,Food,,,Drink?
buffDrunkGrandpasAwesomeSauceChangedDesc,buffs,Buff,,,Focus your brain on identifying the quality loot. \nRaise Lootstage by 40 for 3 min.
buffDrunkGrandpasAwesomeSauceChangedName,buffs,Buff,,,Grandpas Awesome Sauce
buffDrunkGrandpasAwesomeSauceChangedTooltip,buffs,Buff,,,Tastes like brass or ass. Hard to tell.
drinkJarGrandpasAwesomeSauce,items,Food,,,Grandpa's Awesome Sauce
drinkJarGrandpasAwesomeSauceDesc,items,Food,,,Focus your brain on identifying the quality loot. \nRaise Lootstage by 40 for 3 min.
drinkJarGrandpasAwesomeSauceSchematic,items,Food,,,Grandpa's Awesome Sauce Recipe
statMovementSpeedChanged,ui_display,Item stat,,,Movement Speed
statGeneralDamageResist,ui_display,Item stat,,,Damage Resistance
statReloadSpeedMultiplier,ui_display,Item stat,,,Reload Speed
statFireResistance,ui_display,Item stat,,,Fire Resist
statStunFatigueResistance1,ui_display,Item stat,,,Resist: Infection - Fatigue
statStunFatigueResistance2,ui_display,Item stat,,,Resist: Laceration - Abrasion
statStunFatigueResistance3,ui_display,Item stat,,,Resist: Stun - Sprain - Bleeding
marysRevengeHomemadeRifle,items,Gun,,,Mary's Revenge - Homemade bush rifle.
marysRevengeHomemadeRifleDesc,items,Gun,,,"Mary's Revenge. Borne from the dark depths of vengeance. \nHas flawed barrel rifling that causes sporadic bullet tumble - 25% chance of inflicting lethal bleed out. Tumble bullet impact will knock zombies down.\nUses .44 Magnum ammo.\n300% Headshot damage\nMod with Shotgun Barrel Extender.\n8X Scope attachments have full focus range."
rewardMarysRevengeBundle,items,Item,,,Mary's Revenge
rewardMarysRevengeBundleDesc,items,Item,,,There are 6 in a Coven.
marysRevengeArtifactContainer,items,Item,,,Mary's Revenge
marysRevengeArtifactContainerDesc,items,Item,,,Mary's Revenge
magratsEyeBile,items,Item,,,Salty Bile Mouth Vomit
magratsEye,items,Item,,,"Magrat's left eye"
modMagratTracker,item_modifiers,mod,,,All Is Well         
modMagratTrackerDesc,item_modifiers,mod,,,"Town Cryer's witch finder lantern. Tuned by Ipslore to show Magrats aura but he never had a chance to use it. \n\nInstalls in Helmet as light. Turn light on to activate."         
magratsEyeDesc,items,Item,,,"A strange smelling eyeball covered in red mucous and slime. At first glance it resembles hard crystal but it feels spongy in your hand. You feel it vibrating faintly as you hold it - you have a strong urge to consume it even though you suspect any side-effects may be permanent.\n\nUse (A) to consume.\n[Mary's Revenge Storyline]"
buff_MagratsLeftEye,buffs,Buff,,,"Magrat's Left Eye" 
buff_MagratsLeftEyeDesc,buffs,Buff,,,"You have the witches sight. Screamers are automatically tagged with an orange dot on the compass, map and on-screen. The undead sense the presence of the Eye and it aggravates them - your Game Stage is increased by 15.\n\nPermanent Buff." 
marysRevengeCovenHouseScreamer,entityclasses,Entity,,,Coven House Disciple
marysRevengeCovenHouseLootScreamer,entityclasses,Entity,,,Coven House Disciple
graveKeeperDireWolf,entityclasses,Entity,,,Witch Bound Dire Wolf
graveKeeperDireBear,entityclasses,Entity,,,Witch Bound Dire Bear
animalPigeonFlock,entityclasses,Entity,,,Pigeon
